

# t          S            I            R           
2.516        2.623        5372839.941  627557.437  
2.522        2.496        5370715.422  629682.082  
2.527        2.375        5368579.423  631818.202  
2.533        2.259        5366431.409  633966.333  
2.539        2.148        5364270.816  636127.037  
2.544        2.041        5362097.054  638300.905  
2.550        1.940        5359909.501  640488.560  
2.556        1.843        5357707.504  642690.654  
2.562        1.750        5355490.376  644907.874  
2.567        1.661        5353257.396  647140.943  
2.573        1.576        5351007.804  649390.620  
2.579        1.495        5348740.800  651657.705  
2.585        1.417        5346455.542  653943.041  
2.591        1.343        5344151.144  656247.513  
2.597        1.272        5341826.672  658572.056  
2.603        1.204        5339481.139  660917.657  
2.610        1.140        5337113.508  663285.352  
2.616        1.078        5334722.682  665676.240  
2.622        1.019        5332307.504  668091.477  
2.629        0.962        5329866.751  670532.287  
2.635        0.908        5327399.130  672999.961  
2.642        0.857        5324903.276  675495.867  
2.648        0.808        5322377.741  678021.451  
2.655        0.761        5319820.994  680578.245  
2.662        0.717        5317231.410  683167.873  
2.669        0.674        5314607.269  685792.057  
2.676        0.633        5311946.741  688452.626  
2.683        0.595        5309247.885  691151.520  
2.690        0.558        5306508.636  693890.806  
2.697        0.523        5303726.796  696672.681  
2.705        0.489        5300900.022  699499.488  
2.713        0.458        5298025.818  702373.725  
2.720        0.428        5295101.515  705298.058  
2.728        0.399        5292124.262  708275.339  
2.736        0.372        5289091.008  711308.620  
2.744        0.346        5285998.482  714401.173  
2.753        0.321        5282843.171  717556.508  
2.761        0.298        5279621.303  720778.399  
2.770        0.276        5276328.815  724070.909  
2.779        0.255        5272961.326  727438.418  
2.788        0.235        5269514.105  730885.660  
2.797        0.217        5265982.029  734417.755  
2.807        0.199        5262359.546  738040.255  
2.817        0.183        5258640.625  741759.193  
2.827        0.167        5254818.694  745581.139  
2.838        0.152        5250886.586  749513.261  
2.848        0.139        5246836.456  753563.405  
2.860        0.126        5242659.701  757740.173  
2.871        0.114        5238346.856  762053.030  
2.883        0.102        5233887.482  766512.415  
2.895        0.092        5229270.025  771129.883  
2.908        0.082        5224481.658  775918.260  
2.922        0.073        5219508.088  780891.839  
2.935        0.065        5214333.326  786066.609  
2.950        0.057        5208939.420  791460.522  
2.965        0.050        5203306.118  797093.832  
2.981        0.044        5197410.467  802989.490  
2.998        0.038        5191226.325  809173.637  
3.015        0.033        5184723.754  815676.214  
3.034        0.028        5177868.258  822531.714  
3.053        0.023        5170619.844  829780.133  
3.074        0.020        5162931.809  837468.172  
3.096        0.016        5154749.200  845650.784  
3.120        0.013        5146006.810  854393.177  
3.146        0.011        5136626.539  863773.450  
3.173        0.008        5126513.878  873886.113  
3.203        0.006        5115553.145  884846.848  
3.236        0.005        5103600.909  896799.086  
3.272        0.004        5090476.739  909923.258  
3.312        0.003        5075949.903  924450.094  
3.357        0.002        5059719.746  940680.253  
3.408        0.001        5041385.892  959014.107  
3.466        0.001        5020401.512  979998.487  
3.534        0.000        4995997.120  1004402.879 
3.616        0.000        4967050.637  1033349.362 
3.715        0.000        4931853.863  1068546.137 
3.841        0.000        4887666.265  1112733.734 
4.008        0.000        4829803.709  1170596.291 
4.242        0.000        4749687.170  1250712.830 
4.596        0.000        4631263.793  1369136.207 
5.134        0.000        4456548.929  1543851.071 
5.528        0.000        4332716.037  1667683.963 
5.915        0.000        4214590.118  1785809.882 
6.296        0.000        4101641.693  1898758.307 
6.689        0.000        3988157.059  2012242.941 
7.118        0.000        3867598.745  2132801.255 
7.593        0.000        3738618.264  2261781.736 
8.088        0.000        3608679.285  2391720.715 
8.532        0.000        3496061.564  2504338.436 
8.969        0.000        3388725.176  2611674.824 
9.444        0.000        3275607.836  2724792.164 
10.000       0.000        3148120.586  2852279.414 
10.630       0.000        3009649.127  2990750.873 
11.186       0.000        2892320.033  3108079.967 
11.727       0.000        2782748.422  3217651.578 
12.294       0.000        2672281.471  3328118.529 
12.943       0.000        2551276.503  3449123.497 
13.697       0.000        2417564.538  3582835.462 
14.458       0.000        2289641.868  3710758.132 
15.208       0.000        2170097.589  3830302.411 
15.939       0.000        2059691.116  3940708.884 
16.702       0.000        1950550.520  4049849.480 
17.577       0.000        1832297.647  4168102.353 
18.622       0.000        1700530.689  4299869.311 
19.792       0.000        1564166.768  4436233.232 
20.878       0.000        1447404.196  4552995.804 
21.946       0.000        1341158.399  4659241.601 
23.115       0.000        1233708.771  4766691.229 
24.560       0.000        1112745.108  4887654.892 
26.161       0.000        992469.780   5007930.220 
27.827       0.000        881125.872   5119274.128 
29.525       0.000        780500.197   5219899.803 
31.244       0.000        690307.251   5310092.749 
32.982       0.000        609713.973   5390686.027 
34.739       0.000        537800.538   5462599.462 
36.516       0.000        473688.939   5526711.061 
38.315       0.000        416573.746   5583826.254 
40.137       0.000        365725.017   5634674.983 
41.986       0.000        320483.677   5679916.323 
43.864       0.000        280255.187   5720144.813 
45.775       0.000        244503.052   5755896.948 
47.723       0.000        212742.528   5787657.472 
49.714       0.000        184534.425   5815865.575 
51.757       0.000        159478.628   5840921.372 
53.863       0.000        137206.481   5863193.519 
56.049       0.000        117369.832   5883030.168 
58.345       0.000        99619.929    5900780.071 
60.000       0.000        88511.865    5911888.135 
