

# t          S            I            R           
1.147        876105.372   5041836.265  82458.363   
1.153        834800.029   5081071.858  84528.113   
1.158        795672.314   5118142.226  86585.460   
1.164        758583.968   5153184.831  88631.200   
1.169        723407.887   5186326.043  90666.069   
1.175        690026.999   5217682.253  92690.748   
1.180        658333.269   5247360.865  94705.867   
1.186        628226.819   5275461.171  96712.010   
1.191        599615.154   5302075.125  98709.720   
1.196        572412.468   5327288.031  100699.501  
1.201        546539.036   5351179.145  102681.819  
1.206        521920.666   5373822.223  104657.111  
1.212        498488.220   5395285.999  106625.781  
1.217        476177.176   5415634.616  108588.208  
1.222        454927.242   5434928.014  110544.744  
1.227        434682.013   5453222.268  112495.719  
1.232        415388.652   5470569.908  114441.440  
1.237        396997.613   5487020.190  116382.197  
1.242        379462.385   5502619.355  118318.260  
1.246        362739.266   5517410.853  120249.882  
1.251        346787.149   5531435.550  122177.301  
1.256        331567.339   5544731.921  124100.741  
1.261        317043.376   5557336.213  126020.412  
1.266        303180.880   5569282.608  127936.512  
1.271        289947.409   5580603.363  129849.228  
1.275        277312.325   5591328.940  131758.735  
1.280        265246.676   5601488.125  133665.199  
1.285        253723.084   5611108.140  135568.775  
1.290        242715.645   5620214.742  137469.613  
1.294        232199.832   5628832.317  139367.852  
1.299        222152.414   5636983.964  141263.622  
1.304        212551.371   5644691.578  143157.051  
1.309        203375.824   5651975.921  145048.254  
1.313        194605.965   5658856.689  146937.346  
1.318        186222.993   5665352.576  148824.431  
1.323        178209.055   5671481.335  150709.610  
1.327        170547.194   5677259.827  152592.979  
1.332        163221.293   5682704.079  154474.628  
1.336        156216.034   5687829.323  156354.643  
1.341        149516.847   5692650.047  158233.107  
1.346        143109.872   5697180.033  160110.096  
1.350        136981.920   5701432.396  161985.684  
1.355        131120.438   5705419.621  163859.941  
1.360        125513.472   5709153.594  165732.934  
1.364        120149.636   5712645.637  167604.727  
1.369        115018.084   5715906.536  169475.380  
1.373        110108.480   5718946.569  171344.950  
1.378        105410.974   5721775.534  173213.493  
1.382        100916.172   5724402.769  175081.059  
1.387        96615.119    5726837.181  176947.700  
1.392        92499.274    5729087.264  178813.462  
1.396        88560.488    5731161.121  180678.391  
1.401        84790.986    5733066.485  182542.529  
1.405        81183.350    5734810.733  184405.918  
1.410        77730.497    5736400.907  186268.596  
1.414        74425.667    5737843.731  188130.602  
1.419        71262.407    5739145.622  189991.971  
1.423        68234.552    5740312.711  191852.737  
1.428        65336.218    5741350.851  193712.932  
1.432        62561.780    5742265.632  195572.587  
1.437        59905.869    5743062.397  197431.733  
1.441        57363.353    5743746.249  199290.397  
1.446        54929.329    5744322.064  201148.607  
1.451        52599.110    5744794.501  203006.388  
1.455        50368.219    5745168.015  204863.765  
1.460        48232.375    5745446.863  206720.762  
1.464        46187.486    5745635.112  208577.401  
1.469        44229.641    5745736.655  210433.704  
1.473        42355.098    5745755.210  212289.691  
1.478        40560.283    5745694.334  214145.383  
1.482        38841.775    5745557.428  216000.797  
1.487        37196.303    5745347.744  217855.953  
1.491        35620.740    5745068.393  219710.867  
1.496        34112.094    5744722.351  221565.555  
1.500        32667.503    5744312.462  223420.035  
1.505        31284.231    5743841.450  225274.320  
1.509        29959.657    5743311.918  227128.425  
1.514        28691.276    5742726.359  228982.364  
1.518        27476.693    5742087.157  230836.151  
1.523        26313.611    5741396.591  232689.797  
1.527        25199.838    5740656.846  234543.316  
1.532        24133.273    5739870.008  236396.719  
1.536        23111.906    5739038.078  238250.016  
1.541        22133.815    5738162.966  240103.219  
1.545        21197.157    5737246.505  241956.338  
1.550        20300.172    5736290.445  243809.382  
1.555        19441.174    5735296.464  245662.362  
1.559        18618.548    5734266.166  247515.285  
1.564        17830.751    5733201.088  249368.161  
1.568        17076.302    5732102.700  251220.998  
1.573        16353.788    5730972.409  253073.803  
1.577        15661.853    5729811.562  254926.585  
1.582        14999.199    5728621.451  256779.350  
1.586        14364.585    5727403.308  258632.106  
1.591        13756.823    5726158.318  260484.859  
1.595        13174.774    5724887.610  262337.616  
1.600        12617.348    5723592.269  264190.383  
1.604        12083.503    5722273.332  266043.165  
1.609        11572.239    5720931.793  267895.968  
1.613        11082.600    5719568.601  269748.799  
1.618        10613.671    5718184.668  271601.661  
1.622        10164.574    5716780.866  273454.560  
1.627        9734.471     5715358.028  275307.501  
1.632        9322.557     5713916.955  277160.489  
1.636        8928.062     5712458.411  279013.527  
1.641        8550.250     5710983.130  280866.620  
1.645        8188.414     5709491.813  282719.773  
1.650        7841.880     5707985.131  284572.989  
