# phi      u         
-5.218     1.288     
-5.126     1.248     
-5.034     1.207     
-4.944     1.165     
-4.857     1.123     
-4.773     1.081     
-4.690     1.040     
-4.610     1.000     
-4.531     0.961     
-4.452     0.922     
-4.374     0.884     
-4.296     0.846     
-4.217     0.810     
-4.138     0.774     
-4.057     0.739     
-3.976     0.706     
-3.893     0.674     
-3.809     0.644     
-3.723     0.615     
-3.635     0.590     
-3.547     0.567     
-3.462     0.548     
-3.379     0.533     
-3.297     0.522     
-3.216     0.513     
-3.136     0.508     
-3.056     0.506     
-2.977     0.507     
-2.899     0.511     
-2.820     0.519     
-2.741     0.529     
-2.662     0.542     
-2.582     0.559     
-2.501     0.578     
-2.420     0.600     
-2.336     0.626     
-2.252     0.655     
-2.165     0.687     
-2.076     0.722     
-1.988     0.760     
-1.901     0.798     
-1.816     0.837     
-1.733     0.877     
-1.651     0.916     
-1.570     0.957     
-1.490     0.997     
-1.410     1.036     
-1.330     1.076     
-1.249     1.116     
-1.166     1.156     
-1.082     1.196     
-0.996     1.235     
-0.908     1.274     
-0.817     1.311     
-0.724     1.347     
-0.628     1.382     
-0.532     1.412     
-0.440     1.439     
-0.350     1.461     
-0.262     1.479     
-0.177     1.493     
-0.092     1.504     
-0.009     1.511     
0.073      1.515     
0.154      1.516     
0.236      1.513     
0.317      1.507     
0.398      1.498     
0.480      1.486     
0.562      1.470     
0.644      1.452     
0.728      1.430     
0.813      1.405     
0.900      1.376     
0.988      1.344     
1.079      1.309     
1.173      1.269     
1.269      1.227     
1.364      1.184     
1.456      1.140     
1.545      1.096     
1.631      1.053     
1.716      1.011     
1.799      0.970     
1.880      0.929     
1.962      0.890     
2.043      0.850     
2.125      0.812     
2.208      0.775     
2.291      0.739     
2.376      0.704     
2.462      0.671     
2.550      0.640     
2.641      0.611     
2.732      0.584     
2.823      0.562     
2.911      0.544     
2.998      0.529     
3.083      0.518     
3.167      0.511     
3.250      0.507     
3.333      0.506     
3.415      0.509     
3.497      0.516     
3.580      0.525     
3.662      0.538     
3.745      0.554     
3.829      0.574     
3.914      0.597     
4.001      0.623     
4.089      0.652     
4.179      0.686     
4.272      0.723     
4.365      0.762     
4.455      0.802     
4.544      0.843     
4.630      0.884     
4.716      0.926     
4.800      0.968     
4.884      1.010     
4.968      1.052     
5.052      1.093     
5.138      1.135     
5.225      1.177     
5.314      1.218     
5.405      1.259     
5.499      1.298     
5.595      1.337     
5.695      1.373     
5.795      1.406     
5.892      1.434     
5.987      1.458     
6.079      1.478     
6.170      1.493     
6.258      1.504     
6.345      1.512     
6.431      1.515     
6.517      1.515     
6.602      1.512     
6.687      1.505     
6.772      1.494     
6.858      1.480     
6.944      1.463     
7.032      1.442     
7.120      1.417     
7.210      1.389     
7.302      1.357     
7.396      1.321     
7.494      1.281     
7.595      1.237     
7.695      1.191     
7.792      1.145     
7.886      1.099     
7.978      1.054     
8.067      1.010     
8.154      0.966     
8.240      0.924     
8.326      0.882     
8.411      0.841     
8.498      0.801     
8.585      0.762     
8.673      0.725     
8.763      0.689     
8.854      0.655     
8.948      0.623     
9.045      0.594     
9.141      0.569     
9.235      0.548     
9.327      0.532     
9.417      0.520     
9.506      0.511     
9.594      0.507     
9.682      0.507     
9.768      0.510     
9.855      0.517     
9.942      0.527     
10.029     0.542     
10.117     0.560     
10.206     0.581     
10.296     0.607     
10.388     0.636     
10.482     0.669     
