# phi      u         
-5.514     1.301     
-5.425     1.265     
-5.334     1.225     
-5.244     1.184     
-5.157     1.143     
-5.072     1.101     
-4.989     1.061     
-4.908     1.020     
-4.829     0.981     
-4.751     0.942     
-4.674     0.904     
-4.596     0.866     
-4.519     0.829     
-4.440     0.793     
-4.361     0.758     
-4.282     0.724     
-4.201     0.691     
-4.118     0.660     
-4.034     0.630     
-3.948     0.602     
-3.860     0.578     
-3.775     0.556     
-3.690     0.539     
-3.608     0.524     
-3.527     0.513     
-3.447     0.506     
-3.368     0.502     
-3.289     0.500     
-3.211     0.502     
-3.133     0.507     
-3.055     0.515     
-2.977     0.526     
-2.898     0.539     
-2.819     0.556     
-2.739     0.576     
-2.657     0.599     
-2.575     0.625     
-2.490     0.654     
-2.404     0.687     
-2.316     0.722     
-2.228     0.759     
-2.143     0.797     
-2.059     0.836     
-1.977     0.876     
-1.896     0.915     
-1.816     0.955     
-1.736     0.995     
-1.657     1.034     
-1.578     1.074     
-1.498     1.113     
-1.416     1.152     
-1.332     1.191     
-1.247     1.230     
-1.160     1.268     
-1.071     1.304     
-0.978     1.340     
-0.883     1.373     
-0.790     1.402     
-0.700     1.427     
-0.612     1.448     
-0.526     1.466     
-0.442     1.479     
-0.360     1.489     
-0.279     1.496     
-0.198     1.499     
-0.118     1.499     
-0.039     1.496     
0.041      1.490     
0.121      1.481     
0.201      1.468     
0.281      1.453     
0.363      1.434     
0.445      1.412     
0.528      1.387     
0.614      1.359     
0.701      1.328     
0.790      1.293     
0.883      1.254     
0.977      1.212     
1.070      1.169     
1.160      1.126     
1.248      1.083     
1.333      1.041     
1.417      1.000     
1.498      0.959     
1.579      0.919     
1.659      0.880     
1.740      0.841     
1.821      0.803     
1.903      0.766     
1.986      0.730     
2.070      0.696     
2.155      0.663     
2.243      0.632     
2.332      0.604     
2.423      0.578     
2.513      0.555     
2.600      0.537     
2.686      0.523     
2.771      0.512     
2.854      0.505     
2.936      0.501     
3.018      0.501     
3.099      0.504     
3.181      0.510     
3.262      0.519     
3.344      0.532     
3.426      0.548     
3.510      0.567     
3.594      0.590     
3.679      0.615     
3.767      0.645     
3.856      0.678     
3.948      0.714     
4.040      0.753     
4.129      0.792     
4.217      0.833     
4.303      0.874     
4.388      0.916     
4.472      0.957     
4.555      0.999     
4.637      1.040     
4.720      1.081     
4.805      1.122     
4.890      1.163     
4.978      1.204     
5.068      1.244     
5.159      1.283     
5.254      1.321     
5.352      1.356     
5.450      1.389     
5.546      1.417     
5.640      1.441     
5.730      1.461     
5.819      1.476     
5.905      1.487     
5.991      1.495     
6.075      1.499     
6.159      1.499     
6.243      1.496     
6.326      1.490     
6.410      1.480     
6.494      1.467     
6.578      1.450     
6.663      1.430     
6.750      1.406     
6.838      1.379     
6.928      1.348     
7.020      1.314     
7.115      1.275     
7.214      1.233     
7.312      1.188     
7.408      1.143     
7.501      1.098     
7.592      1.053     
7.680      1.009     
7.766      0.967     
7.851      0.924     
7.936      0.883     
8.021      0.842     
8.106      0.802     
8.192      0.764     
8.279      0.726     
8.368      0.690     
8.458      0.656     
8.550      0.624     
8.645      0.595     
8.740      0.569     
8.834      0.547     
8.925      0.530     
9.015      0.517     
9.104      0.507     
9.191      0.502     
9.277      0.500     
9.363      0.503     
9.449      0.508     
9.535      0.518     
9.621      0.531     
9.708      0.548     
9.796      0.568     
9.884      0.592     
9.975      0.619     
10.067     0.651     
10.162     0.686     
10.259     0.725     
10.355     0.767     
10.449     0.809     
10.541     0.853     
10.632     0.896     
10.721     0.940     
10.809     0.984     
10.897     1.028     
10.985     1.072     
11.073     1.115     
11.164     1.159     
11.256     1.202     
11.351     1.244     
11.448     1.285     
